                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.45203,                0.32563,                0.85744,                0.95643,                0.91088,                0.95488,                0.83639,                0.52644,                0.33497,                0.86473,             3.3163e-06,             3.3163e-06,             3.3163e-06
                      2,                0.44831,                0.32517,                  0.858,                0.95713,                0.91408,                 0.9548,                 0.8349,                0.52447,                0.33082,                0.86368,             6.3205e-06,             6.3205e-06,             6.3205e-06
                      3,                0.44993,                0.32773,                0.86071,                0.96143,                 0.9111,                0.95443,                0.83571,                0.52366,                0.33019,                0.86329,             8.9947e-06,             8.9947e-06,             8.9947e-06
                      4,                0.45304,                0.31666,                 0.8528,                0.95788,                0.90991,                0.95356,                0.83354,                0.52321,                0.32949,                 0.8636,              8.515e-06,              8.515e-06,              8.515e-06
                      5,                0.44831,                0.32848,                 0.8597,                0.95727,                0.91228,                0.95293,                0.83428,                0.52056,                0.32804,                 0.8629,              8.515e-06,              8.515e-06,              8.515e-06
                      6,                0.44401,                0.31373,                0.85541,                0.95773,                 0.9147,                0.95413,                0.83682,                0.52007,                0.32765,                0.86317,              8.515e-06,              8.515e-06,              8.515e-06
                      7,                  0.439,                0.31196,                0.85546,                0.95968,                0.91497,                0.95491,                0.83833,                 0.5201,                0.32597,                0.86271,              7.525e-06,              7.525e-06,              7.525e-06
                      8,                0.43906,                0.31272,                 0.8579,                0.95701,                0.91222,                0.95396,                0.83598,                0.52083,                0.32685,                0.86245,               7.03e-06,               7.03e-06,               7.03e-06
                      9,                0.44246,                0.30459,                 0.8498,                0.95822,                0.90998,                0.95364,                0.83664,                 0.5211,                0.32947,                 0.8628,              6.535e-06,              6.535e-06,              6.535e-06
                     10,                0.43776,                0.31446,                 0.8568,                0.95556,                0.91236,                0.95389,                0.83571,                 0.5194,                0.32596,                0.86243,               6.04e-06,               6.04e-06,               6.04e-06
                     11,                0.44759,                0.31903,                0.85655,                0.95869,                0.91318,                0.95471,                0.84003,                0.52003,                0.32534,                0.86243,              5.545e-06,              5.545e-06,              5.545e-06
                     12,                0.43503,                0.30403,                0.85297,                0.95699,                0.91423,                0.95496,                0.84036,                0.51906,                0.32537,                0.86282,              5.545e-06,              5.545e-06,              5.545e-06
                     13,                0.43092,                0.30146,                0.85334,                0.95797,                0.91377,                0.95542,                0.84117,                0.51969,                0.32462,                0.86261,              4.555e-06,              4.555e-06,              4.555e-06
                     14,                0.43125,                0.30292,                0.85563,                0.95752,                 0.9123,                0.95461,                0.83891,                0.51934,                0.32673,                 0.8621,               4.06e-06,               4.06e-06,               4.06e-06
                     15,                 0.4347,                0.29679,                0.84774,                0.95734,                0.91088,                0.95415,                0.83808,                0.51979,                0.32738,                0.86247,              3.565e-06,              3.565e-06,              3.565e-06
                     16,                0.43063,                0.30682,                0.85487,                0.95549,                0.91226,                0.95424,                0.83801,                0.51886,                0.32559,                0.86223,               3.07e-06,               3.07e-06,               3.07e-06
                     17,                0.42975,                0.29847,                0.85154,                0.95684,                0.91256,                0.95493,                0.83998,                0.51874,                0.32491,                0.86256,               3.07e-06,               3.07e-06,               3.07e-06
                     18,                0.42618,                0.29651,                0.85205,                0.95848,                0.91257,                0.95491,                0.83992,                0.51942,                0.32519,                0.86255,               2.08e-06,               2.08e-06,               2.08e-06
                     19,                0.42671,                0.29831,                0.85445,                0.95821,                0.91053,                 0.9543,                0.83915,                0.51941,                0.32623,                0.86217,              1.585e-06,              1.585e-06,              1.585e-06
                     20,                0.43065,                 0.2937,                0.84657,                0.95816,                 0.9107,                0.95406,                 0.8391,                0.51888,                0.32702,                0.86249,               1.09e-06,               1.09e-06,               1.09e-06
