                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80531,                 3.0552,                 1.0819,                0.22259,                0.48146,                0.26435,                0.21607,                0.72971,                 2.2188,                0.97647,             0.00018439,             0.00018439,             0.00018439
                      2,                0.73496,                 2.1662,                 1.0281,                0.27182,                0.44843,                 0.3451,                0.27591,                0.75716,                 2.0707,                 1.0122,             0.00035752,             0.00035752,             0.00035752
                      3,                0.71165,                 1.9046,                 1.0071,                0.46011,                0.54385,                0.52689,                 0.4367,                0.68211,                 1.6985,                0.94911,             0.00051842,             0.00051842,             0.00051842
                      4,                0.69192,                 1.6415,                 1.0004,                0.63408,                 0.5898,                0.65122,                0.52869,                0.72571,                 1.6048,                0.97172,             0.00050096,             0.00050096,             0.00050096
                      5,                0.67314,                 1.4578,                0.98369,                0.66788,                0.70824,                0.72808,                0.61564,                0.64548,                 1.1838,                0.93088,             0.00050096,             0.00050096,             0.00050096
                      6,                0.64761,                 1.3262,                 0.9755,                0.70813,                0.71547,                0.77072,                0.65141,                0.65597,                   1.03,                 0.9286,             0.00048261,             0.00048261,             0.00048261
                      7,                0.64273,                 1.2179,                0.97173,                0.80722,                 0.7317,                0.80973,                 0.6792,                0.64477,                0.90361,                0.92949,             0.00046426,             0.00046426,             0.00046426
                      8,                0.62269,                 1.1283,                 0.9623,                0.76404,                 0.7832,                0.83684,                0.70911,                0.62895,                0.77619,                 0.9083,             0.00044591,             0.00044591,             0.00044591
                      9,                0.62897,                 1.0713,                0.96547,                0.86247,                0.75435,                0.84628,                0.72036,                0.60911,                0.72135,                0.90086,             0.00042756,             0.00042756,             0.00042756
                     10,                0.61522,                 1.0126,                0.96059,                0.87471,                0.80474,                0.87767,                0.74996,                0.59717,                0.65884,                0.89833,             0.00040922,             0.00040922,             0.00040922
                     11,                0.60832,                0.95315,                0.95274,                0.90151,                 0.8261,                0.89388,                0.76891,                0.58929,                0.58518,                0.89628,             0.00039087,             0.00039087,             0.00039087
                     12,                0.57616,                0.91808,                0.94368,                0.90922,                0.84445,                0.90792,                0.78142,                 0.5875,                 0.5683,                0.89536,             0.00037252,             0.00037252,             0.00037252
                     13,                0.58159,                0.86211,                0.94992,                0.88462,                0.84275,                0.91241,                0.78234,                0.58871,                0.54588,                0.89327,             0.00035417,             0.00035417,             0.00035417
                     14,                0.57674,                0.85125,                0.94469,                0.92602,                0.81632,                0.90262,                0.77527,                0.58371,                0.54709,                0.89421,             0.00033582,             0.00033582,             0.00033582
                     15,                0.57248,                0.81784,                 0.9444,                0.93231,                 0.8605,                 0.9157,                0.79268,                0.57052,                0.50363,                0.88416,             0.00031748,             0.00031748,             0.00031748
                     16,                0.56183,                0.79397,                0.94039,                0.94947,                0.84176,                0.92067,                0.78604,                0.58588,                0.48005,                0.88761,             0.00029913,             0.00029913,             0.00029913
                     17,                0.55353,                0.76317,                0.93443,                0.93776,                 0.8804,                0.93253,                0.80231,                0.56307,                0.45381,                0.88049,             0.00028078,             0.00028078,             0.00028078
                     18,                0.55356,                0.73757,                0.93245,                 0.9127,                0.89712,                0.93612,                0.80749,                0.56401,                0.44427,                0.88211,             0.00026243,             0.00026243,             0.00026243
                     19,                0.55548,                0.74981,                0.93418,                0.92646,                0.87843,                 0.9276,                0.80751,                0.56323,                0.44676,                0.87841,             0.00024408,             0.00024408,             0.00024408
                     20,                0.53708,                0.71835,                0.92632,                0.93485,                0.89262,                0.93709,                0.80865,                 0.5729,                0.42641,                0.88692,             0.00022574,             0.00022574,             0.00022574
                     21,                0.52097,                0.49137,                0.88518,                0.93872,                0.88003,                0.93797,                 0.8129,                 0.5647,                0.42876,                 0.8844,             0.00020739,             0.00020739,             0.00020739
                     22,                0.51125,                0.45173,                0.87922,                0.93905,                0.89833,                0.94518,                 0.8145,                0.55619,                0.40836,                0.87745,             0.00018904,             0.00018904,             0.00018904
                     23,                0.50931,                0.44198,                0.88208,                0.95984,                0.89821,                0.94261,                0.81698,                0.55738,                0.39857,                0.87867,             0.00017069,             0.00017069,             0.00017069
                     24,                0.49905,                0.41455,                0.87181,                0.94633,                0.90308,                0.94967,                0.82869,                0.54422,                0.37499,                0.87099,             0.00015234,             0.00015234,             0.00015234
                     25,                0.48936,                0.40018,                0.86845,                0.95893,                 0.8878,                0.94915,                0.82388,                0.54962,                0.37731,                0.87266,               0.000134,               0.000134,               0.000134
                     26,                0.48187,                0.38153,                0.86796,                0.95178,                0.90118,                0.95357,                0.83032,                 0.5408,                0.36456,                0.87092,             0.00011565,             0.00011565,             0.00011565
                     27,                0.47823,                 0.3654,                0.86691,                0.95265,                0.89967,                0.95142,                0.83147,                0.53434,                0.36913,                0.86838,               9.73e-05,               9.73e-05,               9.73e-05
                     28,                0.46891,                 0.3554,                0.85849,                  0.968,                 0.8955,                0.95289,                0.83233,                0.53924,                0.34651,                0.86914,             7.8952e-05,             7.8952e-05,             7.8952e-05
                     29,                0.46164,                0.34799,                0.86391,                0.95714,                0.90306,                0.95037,                0.82883,                0.53213,                0.34727,                0.86803,             6.0604e-05,             6.0604e-05,             6.0604e-05
                     30,                0.45939,                0.33294,                0.85734,                0.95526,                0.90608,                0.95416,                0.83461,                0.53062,                0.33882,                0.86605,             4.2256e-05,             4.2256e-05,             4.2256e-05
